,Start date,Start station number,End station number,Bike model,Total duration (m),Start time,start_coordinates,end_coordinates,public_transport,cycling
53,20250131,2687,200064,PBSC_EBIKE,6,2350,"51.52261762,-0.071653961","51.535678,-0.062546",26.0,7.0
54,20250131,1146,300029,PBSC_EBIKE,29,2348,"51.52644342,-0.109256828","51.549369,-0.015717614",56.0,32.0
55,20250131,300002,200197,CLASSIC,3,2348,"51.49434708,-0.215804559","51.49021762,-0.215087092",11.0,2.0
56,20250131,3481,1208,CLASSIC,3,2348,"51.49148474,-0.090220911","51.49679128,-0.093913472",12.0,3.0
57,20250131,200234,200239,CLASSIC,8,2347,"51.526041,-0.047218","51.51793,-0.067937",20.0,8.0
58,20250131,1047,2641,CLASSIC,8,2347,"51.53095071,-0.078505384","51.53114,-0.086016",7.0,2.0
59,20250131,200060,2694,PBSC_EBIKE,19,2347,"51.487196,-0.179369","51.461388,-0.13922146",28.0,18.0
60,20250131,200032,1224,CLASSIC,1,2347,"51.483145,-0.113134","51.486965,-0.116625",8.0,2.0
61,20250131,1043,1226,CLASSIC,7,2346,"51.51782144,-0.096496865","51.529423,-0.097122",13.0,7.0
62,20250131,1052,22181,CLASSIC,12,2346,"51.51563144,-0.132328837","51.53792,-0.1305299999999931",30.0,13.0
63,20250131,1039,300059,CLASSIC,14,2346,"51.504904,-0.06797","51.492221,-0.0625130999999896",37.0,12.0
64,20250131,1062,1105,CLASSIC,3,2346,"51.51423368,-0.073537654","51.51492456,-0.066078037",8.0,3.0
65,20250131,1043,1226,CLASSIC,7,2346,"51.51782144,-0.096496865","51.529423,-0.097122",13.0,7.0
66,20250131,200051,1160,CLASSIC,19,2346,"51.526153,-0.102208","51.50810309,-0.12602103",30.0,14.0
67,20250131,200183,300221,CLASSIC,4,2346,"51.4795017,-0.141770709","51.4835074867,-0.147714557371",9.0,3.0
68,20250131,200051,1160,CLASSIC,19,2346,"51.526153,-0.102208","51.50810309,-0.12602103",30.0,14.0
69,20250131,3504,2690,CLASSIC,16,2345,"51.51352755,-0.130110822","51.530344,-0.100168",33.0,15.0
70,20250131,1160,1206,CLASSIC,11,2345,"51.50810309,-0.12602103","51.49888404,-0.165471605",28.0,12.0
71,20250131,200108,1041,CLASSIC,2,2345,"51.5171,-0.18377","51.51552971,-0.190240716",4.0,1.0
72,20250131,1182,300023,CLASSIC,4,2345,"51.50935342,-0.196422","51.51632095,-0.202608612",12.0,3.0
73,20250131,1052,22181,PBSC_EBIKE,12,2345,"51.51563144,-0.132328837","51.53792,-0.1305299999999931",30.0,13.0
74,20250131,200020,1171,CLASSIC,5,2345,"51.511088,-0.057159","51.518154,-0.062697",14.0,3.0
