"Start date","Start station number","End station number","Bike model","Total duration (m)","New Start date","Start time","start_coordinates","end_coordinates"
"2025-01-31 23:50",200189,1135,"PBSC_EBIKE",7,"20250523","2350","51.48498496,-0.167919869","51.48483991,-0.138089062"
"2025-01-31 23:50",3479,3444,"CLASSIC",7,"20250523","2350","51.49094565,-0.181190899","51.49159394,-0.192369256"
"2025-01-31 23:50",2587,200076,"PBSC_EBIKE",8,"20250523","2350","51.51615461,-0.082422399","51.498386,-0.107913"
"2025-01-31 23:51",2681,300026,"CLASSIC",22,"20250523","2351","51.50024195,-0.15934065","51.5190427,-0.204764421"
"2025-01-31 23:51",200197,300020,"CLASSIC",3,"20250523","2351","51.49021762,-0.215087092","51.49087074,-0.206029743"
"2025-01-31 23:49",1107,3447,"CLASSIC",1,"20250523","2349","51.49418566,-0.18267094","51.49792478,-0.183834706"
"2025-01-31 23:49",2694,200201,"CLASSIC",15,"20250523","2349","51.461388,-0.13922146","51.47696496,-0.174347066"
"2025-01-31 23:49",200230,200027,"CLASSIC",4,"20250523","2349","51.525501,-0.032267204","51.532513,-0.033085"
"2025-01-31 23:49",200051,1160,"CLASSIC",16,"20250523","2349","51.526153,-0.102208","51.50810309,-0.12602103"
"2025-01-31 23:49",300037,1058,"PBSC_EBIKE",45,"20250523","2349","51.49422354,-0.236769936","51.519968,-0.169774"
"2025-01-31 23:50",2687,200064,"PBSC_EBIKE",6,"20250523","2350","51.52261762,-0.071653961","51.535678,-0.062546"
"2025-01-31 23:48",1146,300029,"PBSC_EBIKE",29,"20250523","2348","51.52644342,-0.109256828","51.549369,-0.015717614"
"2025-01-31 23:48",300002,200197,"CLASSIC",3,"20250523","2348","51.49434708,-0.215804559","51.49021762,-0.215087092"
"2025-01-31 23:48",3481,1208,"CLASSIC",3,"20250523","2348","51.49148474,-0.090220911","51.49679128,-0.093913472"
"2025-01-31 23:47",200234,200239,"CLASSIC",8,"20250523","2347","51.526041,-0.047218","51.51793,-0.067937"
"2025-01-31 23:47",1047,2641,"CLASSIC",8,"20250523","2347","51.53095071,-0.078505384","51.53114,-0.086016"
"2025-01-31 23:47",200060,2694,"PBSC_EBIKE",19,"20250523","2347","51.487196,-0.179369","51.461388,-0.13922146"
"2025-01-31 23:47",200032,1224,"CLASSIC",1,"20250523","2347","51.483145,-0.113134","51.486965,-0.116625"
"2025-01-31 23:46",1043,1226,"CLASSIC",7,"20250523","2346","51.51782144,-0.096496865","51.529423,-0.097122"
"2025-01-31 23:46",1052,22181,"CLASSIC",12,"20250523","2346","51.51563144,-0.132328837","51.53792,-0.1305299999999931"
"2025-01-31 23:46",1039,300059,"CLASSIC",14,"20250523","2346","51.504904,-0.06797","51.492221,-0.0625130999999896"
"2025-01-31 23:46",1062,1105,"CLASSIC",3,"20250523","2346","51.51423368,-0.073537654","51.51492456,-0.066078037"
"2025-01-31 23:46",1043,1226,"CLASSIC",7,"20250523","2346","51.51782144,-0.096496865","51.529423,-0.097122"
"2025-01-31 23:46",200051,1160,"CLASSIC",19,"20250523","2346","51.526153,-0.102208","51.50810309,-0.12602103"
"2025-01-31 23:46",200183,300221,"CLASSIC",4,"20250523","2346","51.4795017,-0.141770709","51.4835074867,-0.147714557371"
"2025-01-31 23:46",200051,1160,"CLASSIC",19,"20250523","2346","51.526153,-0.102208","51.50810309,-0.12602103"
"2025-01-31 23:45",3504,2690,"CLASSIC",16,"20250523","2345","51.51352755,-0.130110822","51.530344,-0.100168"
"2025-01-31 23:45",1160,1206,"CLASSIC",11,"20250523","2345","51.50810309,-0.12602103","51.49888404,-0.165471605"
"2025-01-31 23:45",200108,1041,"CLASSIC",2,"20250523","2345","51.5171,-0.18377","51.51552971,-0.190240716"
"2025-01-31 23:45",1182,300023,"CLASSIC",4,"20250523","2345","51.50935342,-0.196422","51.51632095,-0.202608612"
"2025-01-31 23:45",1052,22181,"PBSC_EBIKE",12,"20250523","2345","51.51563144,-0.132328837","51.53792,-0.1305299999999931"
"2025-01-31 23:45",200020,1171,"CLASSIC",5,"20250523","2345","51.511088,-0.057159","51.518154,-0.062697"
"2025-01-31 23:45",1068,200158,"PBSC_EBIKE",4,"20250523","2345","51.52111369,-0.078869751","51.534464,-0.076341"
"2025-01-31 23:46",1029,200248,"CLASSIC",6,"20250523","2346","51.52915444,-0.093421615","51.53213,-0.08299"
"2025-01-31 23:44",1146,1006,"CLASSIC",10,"20250523","2344","51.52644342,-0.109256828","51.51863,-0.1326763000000141"
"2025-01-31 23:44",200012,200011,"CLASSIC",11,"20250523","2344","51.521889,-0.04667","51.519265,-0.021345"
"2025-01-31 23:44",3452,200149,"PBSC_EBIKE",16,"20250523","2344","51.50963938,-0.131510949","51.511542,-0.056667"
"2025-01-31 23:44",1027,3477,"CLASSIC",11,"20250523","2344","51.52334476,-0.183846408","51.5147461,-0.1651640000000043"
"2025-01-31 23:44",200250,200002,"PBSC_EBIKE",3,"20250523","2344","51.520893,-0.051394","51.515975,-0.053177"
"2025-01-31 23:44",200051,1160,"CLASSIC",18,"20250523","2344","51.526153,-0.102208","51.50810309,-0.12602103"
"2025-01-31 23:45",200197,300018,"CLASSIC",1,"20250523","2345","51.49021762,-0.215087092","51.48728535,-0.217995921"
"2025-01-31 23:43",1124,300005,"PBSC_EBIKE",5,"20250523","2343","51.49121192,-0.173715911","51.47729232,-0.16478637"
"2025-01-31 23:43",3479,2694,"PBSC_EBIKE",24,"20250523","2343","51.49094565,-0.181190899","51.461388,-0.13922146"
"2025-01-31 23:43",1000,1103,"CLASSIC",4,"20250523","2343","51.48591714,-0.124469948","51.49096258,-0.139625122"
"2025-01-31 23:43",1159,979,"CLASSIC",5,"20250523","2343","51.52285301,-0.099994052","51.53099181,-0.093903825"
"2025-01-31 23:43",1093,300050,"CLASSIC",12,"20250523","2343","51.48894022,-0.111435796","51.491327,-0.096518684"
"2025-01-31 23:43",3431,3507,"CLASSIC",7,"20250523","2343","51.5099923,-0.143495266","51.519572,-0.13214036"
"2025-01-31 23:42",3444,1093,"CLASSIC",43,"20250523","2342","51.49159394,-0.192369256","51.48894022,-0.111435796"
"2025-01-31 23:42",200012,200167,"CLASSIC",7,"20250523","2342","51.521889,-0.04667","51.530326,-0.042744"
"2025-01-31 23:42",200193,1131,"CLASSIC",15,"20250523","2342","51.50215353,-0.083632928","51.53266186,-0.099981142"
"2025-01-31 23:42",1079,3428,"CLASSIC",5,"20250523","2342","51.52683806,-0.130504336","51.5341235,-0.129386874"
"2025-01-31 23:42",1058,1099,"CLASSIC",3,"20250523","2342","51.519968,-0.169774","51.5233534,-0.175116099"
"2025-01-31 23:42",200110,2690,"CLASSIC",59,"20250523","2342","51.51616,-0.18697","51.530344,-0.100168"
"2025-01-31 23:42",200212,10624,"CLASSIC",13,"20250523","2342","51.511934,-0.10307894","51.493146,-0.099828"
"2025-01-31 23:42",1002,989,"CLASSIC",26,"20250523","2342","51.49705603,-0.168917077","51.53089041,-0.089782579"
"2025-01-31 23:43",1001,300020,"PBSC_EBIKE",3,"20250523","2343","51.49372451,-0.198286569","51.49087074,-0.206029743"
"2025-01-31 23:43",2660,300062,"CLASSIC",26,"20250523","2343","51.51310333,-0.13121385","51.488067,-0.057774596"
"2025-01-31 23:43",1020,1032,"CLASSIC",2,"20250523","2343","51.5246962,-0.0844393000000138","51.52452699,-0.079248081"
"2025-01-31 23:41",200042,300039,"CLASSIC",11,"20250523","2341","51.528936,-0.055894","51.53603947,-0.026262677"
"2025-01-31 23:41",200197,200215,"CLASSIC",3,"20250523","2341","51.49021762,-0.215087092","51.48606206,-0.214428378"
"2025-01-31 23:41",200197,200215,"CLASSIC",3,"20250523","2341","51.49021762,-0.215087092","51.48606206,-0.214428378"
"2025-01-31 23:41",960,1205,"CLASSIC",14,"20250523","2341","51.50462759,-0.091773776","51.4908679,-0.116911864"
"2025-01-31 23:41",300063,200183,"CLASSIC",14,"20250523","2341","51.48224,-0.0942844","51.4795017,-0.141770709"
"2025-01-31 23:41",3479,200060,"PBSC_EBIKE",5,"20250523","2341","51.49094565,-0.181190899","51.487196,-0.179369"
"2025-01-31 23:42",988,1005,"CLASSIC",9,"20250523","2342","51.51772703,-0.127854211","51.53300545,-0.136792671"
"2025-01-31 23:42",1007,3426,"PBSC_EBIKE",22,"20250523","2342","51.51477076,-0.12221963","51.539834,-0.062806212"
"2025-01-31 23:40",2696,22166,"CLASSIC",25,"20250523","2340","51.50402794,-0.11386436","51.51328,-0.047784"
"2025-01-31 23:40",200136,300082,"CLASSIC",12,"20250523","2340","51.514767,-0.225787","51.49208492,-0.229116862"
"2025-01-31 23:40",979,1213,"PBSC_EBIKE",15,"20250523","2340","51.53099181,-0.093903825","51.50227992,-0.074189225"
"2025-01-31 23:40",1109,200149,"PBSC_EBIKE",24,"20250523","2340","51.50274025,-0.149569201","51.511542,-0.056667"
"2025-01-31 23:39",200073,1047,"PBSC_EBIKE",10,"20250523","2339","51.522561,-0.054883","51.53095071,-0.078505384"
"2025-01-31 23:39",200183,300005,"PBSC_EBIKE",6,"20250523","2339","51.4795017,-0.141770709","51.47729232,-0.16478637"
"2025-01-31 23:39",200147,1225,"CLASSIC",36,"20250523","2339","51.514115,-0.033828","51.517703,-0.154106"
"2025-01-31 23:39",200156,1223,"CLASSIC",6,"20250523","2339","51.527152,-0.058005","51.521776,-0.068856"
"2025-01-31 23:39",3445,200213,"CLASSIC",15,"20250523","2339","51.5263778,-0.078130921","51.52868155,-0.065550321"
"2025-01-31 23:39",1011,200137,"PBSC_EBIKE",28,"20250523","2339","51.529416,-0.1239443999999991","51.477839,-0.116493"
"2025-01-31 23:38",300041,2667,"PBSC_EBIKE",15,"20250523","2338","51.52458353,-0.058631453","51.500845,-0.074704305"
"2025-01-31 23:38",300005,200169,"CLASSIC",9,"20250523","2338","51.47729232,-0.16478637","51.46718562,-0.152248582"
"2025-01-31 23:38",997,300040,"CLASSIC",11,"20250523","2338","51.521668,-0.079608554","51.53571683,-0.060291813"
"2025-01-31 23:38",2695,22159,"CLASSIC",6,"20250523","2338","51.492462,-0.159919","51.490491,-0.149186"
"2025-01-31 23:38",2696,972,"CLASSIC",16,"20250523","2338","51.50402794,-0.11386436","51.52554222,-0.138231303"
"2025-01-31 23:37",1162,200236,"CLASSIC",9,"20250523","2337","51.5225965,-0.161113413","51.53256,-0.16862"
"2025-01-31 23:37",1206,2695,"CLASSIC",4,"20250523","2337","51.49888404,-0.165471605","51.492462,-0.159919"
"2025-01-31 23:37",1174,1093,"PBSC_EBIKE",9,"20250523","2337","51.48805753,-0.140741432","51.48894022,-0.111435796"
"2025-01-31 23:37",2696,300209,"CLASSIC",12,"20250523","2337","51.50402794,-0.11386436","51.4765900593,-0.118256789081"
"2025-01-31 23:37",300050,1140,"CLASSIC",19,"20250523","2337","51.491327,-0.096518684","51.4853572,-0.142207481"
"2025-01-31 23:37",1226,1053,"CLASSIC",5,"20250523","2337","51.529423,-0.097122","51.52326004,-0.104708922"
"2025-01-31 23:37",2678,1166,"CLASSIC",12,"20250523","2337","51.50935171,-0.14744969","51.52202903,-0.165842551"
"2025-01-31 23:37",200025,1051,"CLASSIC",11,"20250523","2337","51.54119,-0.058826101","51.53404294,-0.086379717"
"2025-01-31 23:37",1090,1005,"CLASSIC",4,"20250523","2337","51.52443845,-0.138019439","51.53300545,-0.136792671"
"2025-01-31 23:37",200149,1029,"CLASSIC",17,"20250523","2337","51.511542,-0.056667","51.52915444,-0.093421615"
"2025-01-31 23:37",300050,3481,"CLASSIC",2,"20250523","2337","51.491327,-0.096518684","51.49148474,-0.090220911"
"2025-01-31 23:36",300062,1219,"CLASSIC",16,"20250523","2336","51.488067,-0.057774596","51.5001394,-0.1139359999999953"
"2025-01-31 23:36",3436,200209,"CLASSIC",9,"20250523","2336","51.50136494,-0.191462381","51.5015946,-0.222293381"
"2025-01-31 23:36",3423,1138,"PBSC_EBIKE",19,"20250523","2336","51.529857,-0.18348604","51.49236962,-0.147478734"
"2025-01-31 23:36",300209,300207,"CLASSIC",5,"20250523","2336","51.4765900593,-0.118256789081","51.464995,-0.13090885"
"2025-01-31 23:36",300234,300213,"PBSC_EBIKE",4,"20250523","2336","51.541793,-0.00481","51.5403115,-0.021630359"
"2025-01-31 23:36",300074,300214,"PBSC_EBIKE",8,"20250523","2336","51.51612862,-0.120909408","51.505461,-0.10454093"
"2025-01-31 23:36",1156,978,"CLASSIC",2,"20250523","2336","51.52367314,-0.128377673","51.52341837,-0.124121774"
"2025-01-31 23:36",1052,300234,"PBSC_EBIKE",33,"20250523","2336","51.51563144,-0.132328837","51.541793,-0.00481"
"2025-01-31 23:36",300012,300076,"CLASSIC",11,"20250523","2336","51.4737636,-0.197010096","51.4795738,-0.17903854"
"2025-01-31 23:36",1147,1041,"CLASSIC",9,"20250523","2336","51.52557531,-0.179592915","51.51552971,-0.190240716"
"2025-01-31 23:36",1095,1029,"PBSC_EBIKE",18,"20250523","2336","51.49874469,-0.103132904","51.52915444,-0.093421615"
"2025-01-31 23:35",300026,1178,"CLASSIC",10,"20250523","2335","51.5190427,-0.204764421","51.515607,-0.183118788"
"2025-01-31 23:35",200034,200213,"PBSC_EBIKE",13,"20250523","2335","51.504749,-0.057544","51.52868155,-0.065550321"
"2025-01-31 23:35",1191,1064,"CLASSIC",6,"20250523","2335","51.52004497,-0.092176447","51.525615,-0.0885326000000077"
"2025-01-31 23:35",300051,300086,"CLASSIC",9,"20250523","2335","51.46517078,-0.18038939","51.47993289,-0.19411695"
"2025-01-31 23:35",300089,200098,"CLASSIC",14,"20250523","2335","51.48796408,-0.161765173","51.48102131,-0.209973497"
"2025-01-31 23:35",200099,22177,"CLASSIC",17,"20250523","2335","51.503083,-0.017676","51.513074,-0.064094"
"2025-01-31 23:36",1191,1064,"CLASSIC",6,"20250523","2336","51.52004497,-0.092176447","51.525615,-0.0885326000000077"
"2025-01-31 23:35",300234,300213,"CLASSIC",6,"20250523","2335","51.541793,-0.00481","51.5403115,-0.021630359"
"2025-01-31 23:36",960,1082,"CLASSIC",7,"20250523","2336","51.50462759,-0.091773776","51.49889832,-0.100440521"
"2025-01-31 23:34",300050,200239,"CLASSIC",32,"20250523","2334","51.491327,-0.096518684","51.51793,-0.067937"
"2025-01-31 23:34",200060,300043,"CLASSIC",9,"20250523","2334","51.487196,-0.179369","51.47893931,-0.208485293"
"2025-01-31 23:34",300015,200207,"CLASSIC",3,"20250523","2334","51.47250956,-0.122831913","51.47787084,-0.126874471"
"2025-01-31 23:35",961,1102,"PBSC_EBIKE",16,"20250523","2335","51.50368837,-0.098497684","51.51236389,-0.06954201"
"2025-01-31 23:33",1159,1007,"CLASSIC",13,"20250523","2333","51.52285301,-0.099994052","51.51477076,-0.12221963"
"2025-01-31 23:33",2660,1222,"PBSC_EBIKE",9,"20250523","2333","51.51310333,-0.13121385","51.528246,-0.10102611"
"2025-01-31 23:33",300013,300052,"CLASSIC",20,"20250523","2333","51.474376,-0.155442787","51.475089,-0.201968"
"2025-01-31 23:32",1006,3439,"CLASSIC",2401,"20250523","2332","51.51863,-0.1326763000000141","51.5262503,-0.123509611"
"2025-01-31 23:32",988,200156,"PBSC_EBIKE",20,"20250523","2332","51.51772703,-0.127854211","51.527152,-0.058005"
"2025-01-31 23:32",1036,1096,"CLASSIC",13,"20250523","2332","51.52026,-0.157183945","51.511933,-0.174411"
"2025-01-31 23:31",969,3428,"CLASSIC",9,"20250523","2331","51.52522753,-0.13518856","51.5341235,-0.129386874"
"2025-01-31 23:31",1160,1105,"CLASSIC",23,"20250523","2331","51.50810309,-0.12602103","51.51492456,-0.066078037"
"2025-01-31 23:31",200250,200256,"CLASSIC",5,"20250523","2331","51.520893,-0.051394","51.511066,-0.053558"
"2025-01-31 23:31",1089,300008,"CLASSIC",10,"20250523","2331","51.49396755,-0.17873226","51.48438657,-0.20481514"
"2025-01-31 23:31",1071,1213,"CLASSIC",11,"20250523","2331","51.50950627,-0.075459482","51.50227992,-0.074189225"
"2025-01-31 23:31",300246,3439,"PBSC_EBIKE",13,"20250523","2331","51.50621,-0.114842","51.5262503,-0.123509611"
"2025-01-31 23:31",1064,973,"CLASSIC",6,"20250523","2331","51.525615,-0.0885326000000077","51.52364804,-0.074754872"
"2025-01-31 23:31",300086,300095,"CLASSIC",2,"20250523","2331","51.47993289,-0.19411695","51.47727637,-0.189210466"
"2025-01-31 23:31",1078,1118,"CLASSIC",5,"20250523","2331","51.49488108,-0.117974901","51.49217002,-0.101536865"
"2025-01-31 23:30",300234,1171,"CLASSIC",29,"20250523","2330","51.541793,-0.00481","51.518154,-0.062697"
"2025-01-31 23:30",1151,200241,"PBSC_EBIKE",26,"20250523","2330","51.50654321,-0.123179697","51.53341,-0.049591815"
"2025-01-31 23:30",300216,200033,"PBSC_EBIKE",32,"20250523","2330","51.477966,-0.14785703","51.515256,-0.058641"
"2025-01-31 23:30",200152,200034,"PBSC_EBIKE",15,"20250523","2330","51.53558,-0.08249","51.504749,-0.057544"
"2025-01-31 23:30",200121,200156,"CLASSIC",11,"20250523","2330","51.53908372,-0.070329419","51.527152,-0.058005"
"2025-01-31 23:29",3420,1174,"CLASSIC",7,"20250523","2329","51.49313,-0.156876","51.48805753,-0.140741432"
"2025-01-31 23:29",200183,300051,"PBSC_EBIKE",9,"20250523","2329","51.4795017,-0.141770709","51.46517078,-0.18038939"
"2025-01-31 23:29",300214,10628,"CLASSIC",10,"20250523","2329","51.505461,-0.10454093","51.488105,-0.110121"
"2025-01-31 23:29",300249,1103,"CLASSIC",11,"20250523","2329","51.501513,-0.12382322","51.49096258,-0.139625122"
"2025-01-31 23:29",3457,200132,"CLASSIC",9,"20250523","2329","51.49582705,-0.13547809","51.49605,-0.104193"
"2025-01-31 23:29",300214,10628,"CLASSIC",10,"20250523","2329","51.505461,-0.10454093","51.488105,-0.110121"
"2025-01-31 23:29",300249,1103,"CLASSIC",11,"20250523","2329","51.501513,-0.12382322","51.49096258,-0.139625122"
"2025-01-31 23:29",22180,3458,"CLASSIC",8,"20250523","2329","51.51397065,-0.09294031","51.50663341,-0.131773845"
"2025-01-31 23:29",200156,300213,"PBSC_EBIKE",8,"20250523","2329","51.527152,-0.058005","51.5403115,-0.021630359"
"2025-01-31 23:30",22169,1038,"CLASSIC",9,"20250523","2330","51.524564,-0.116279","51.53301907,-0.139174593"
"2025-01-31 23:28",200184,300051,"PBSC_EBIKE",15,"20250523","2328","51.47946386,-0.195777222","51.46517078,-0.18038939"
"2025-01-31 23:28",3457,200132,"CLASSIC",10,"20250523","2328","51.49582705,-0.13547809","51.49605,-0.104193"
"2025-01-31 23:28",1051,200025,"PBSC_EBIKE",7,"20250523","2328","51.53404294,-0.086379717","51.54119,-0.058826101"
"2025-01-31 23:28",1124,300221,"CLASSIC",9,"20250523","2328","51.49121192,-0.173715911","51.4835074867,-0.147714557371"
"2025-01-31 23:29",300239,200227,"PBSC_EBIKE",33,"20250523","2329","51.492807,-0.091938","51.506093,-0.2242237"
"2025-01-31 23:29",200112,300040,"CLASSIC",18,"20250523","2329","51.54211855,-0.028941601","51.53571683,-0.060291813"
"2025-01-31 23:27",200032,300209,"CLASSIC",4,"20250523","2327","51.483145,-0.113134","51.4765900593,-0.118256789081"
"2025-01-31 23:27",200032,300209,"CLASSIC",3,"20250523","2327","51.483145,-0.113134","51.4765900593,-0.118256789081"
"2025-01-31 23:27",300057,300210,"CLASSIC",18,"20250523","2327","51.51787005,-0.201005397","51.483911,-0.19760944"
"2025-01-31 23:27",200067,200017,"PBSC_EBIKE",7,"20250523","2327","51.50646524,-0.208486599","51.511654,-0.179668"
"2025-01-31 23:27",300214,1216,"CLASSIC",13,"20250523","2327","51.505461,-0.10454093","51.50029631,-0.092762704"
"2025-01-31 23:27",200198,300097,"CLASSIC",21,"20250523","2327","51.520331,-0.163667","51.491026,-0.209121"
"2025-01-31 23:26",1089,300069,"CLASSIC",13,"20250523","2326","51.49396755,-0.17873226","51.48795853,-0.187404506"
"2025-01-31 23:26",2687,300039,"PBSC_EBIKE",12,"20250523","2326","51.52261762,-0.071653961","51.53603947,-0.026262677"
"2025-01-31 23:26",300226,300227,"CLASSIC",2,"20250523","2326","51.544909,-0.0205426","51.546805,-0.01469126"
"2025-01-31 23:26",1094,1018,"CLASSIC",4,"20250523","2326","51.50039792,-0.193068385","51.49960695,-0.197574246"
"2025-01-31 23:26",200125,3492,"CLASSIC",2,"20250523","2326","51.468814,-0.210279","51.466907,-0.216573"
"2025-01-31 23:26",200237,300038,"CLASSIC",7,"20250523","2326","51.472817,-0.199783","51.48724429,-0.205279052"
"2025-01-31 23:26",200205,200125,"PBSC_EBIKE",37,"20250523","2326","51.46321128,-0.215550761","51.468814,-0.210279"
"2025-01-31 23:25",3468,300212,"CLASSIC",5,"20250523","2325","51.52659961,-0.112432615","51.5301998755,-0.122299440803"
"2025-01-31 23:25",3444,300008,"CLASSIC",5,"20250523","2325","51.49159394,-0.192369256","51.48438657,-0.20481514"
"2025-01-31 23:25",300045,300216,"PBSC_EBIKE",4,"20250523","2325","51.47439218,-0.163347594","51.477966,-0.14785703"
"2025-01-31 23:25",978,1154,"CLASSIC",20,"20250523","2325","51.52341837,-0.124121774","51.49571828,-0.110889274"
"2025-01-31 23:25",200255,22183,"CLASSIC",39,"20250523","2325","51.52512,-0.015578","51.534474,-0.122203"
"2025-01-31 23:25",200011,200012,"CLASSIC",6,"20250523","2325","51.519265,-0.021345","51.521889,-0.04667"
"2025-01-31 23:25",200230,200073,"CLASSIC",7,"20250523","2325","51.525501,-0.032267204","51.522561,-0.054883"
"2025-01-31 23:25",2695,1150,"PBSC_EBIKE",15,"20250523","2325","51.492462,-0.159919","51.51031,-0.18740235"
"2025-01-31 23:25",300038,200116,"CLASSIC",38,"20250523","2325","51.48724429,-0.205279052","51.48959104,-0.209378594"
"2025-01-31 23:24",200052,10625,"PBSC_EBIKE",12,"20250523","2324","51.495947,-0.17368958","51.52289229,-0.171681991"
"2025-01-31 23:24",3427,200025,"PBSC_EBIKE",9,"20250523","2324","51.52953709,-0.083353323","51.54119,-0.058826101"
"2025-01-31 23:24",300253,300061,"CLASSIC",5,"20250523","2324","51.497995,-0.063471392","51.495598,-0.078893"
